model -1589867511,1589867546.884,0.62,0.2368,0.64,0.2259
model -1589867511,1589867547.196,0.56,0.2365,0.7,0.2245
model -1589867511,1589867547.499,0.6,0.2334,0.56,0.244
model -1589867511,1589867547.819,0.64,0.2291,0.57,0.2358
model -1589867511,1589867548.128,0.71,0.1963,0.49,0.2644
model -1589867511,1589867548.368,0.49,0.2533,0.57,0.2415
model -1589867511,1589867548.61,0.66,0.2251,0.65,0.214
model -1589867511,1589867548.881,0.55,0.246,0.68,0.2182
model -1589867511,1589867549.156,0.71,0.214,0.68,0.2235
model -1589867511,1589867549.4,0.66,0.2188,0.65,0.2171
model -1589867511,1589867549.663,0.69,0.2076,0.63,0.2271
